cset: --> last message, executed args into cpuset "/user", new pid is: 147708
Running insertion:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_flat_map;boost::unordered_node_map
124735;0.630736;1.12394;0.938696;1.53592
130945;0.60465;1.10698;0.89934;1.50221
137465;0.585216;1.09211;0.87408;1.46992
144311;0.571293;1.07775;0.851325;1.43918
151499;0.559861;1.06462;0.828695;1.41207
159046;0.54552;1.052;0.806508;1.38455
166970;0.534237;1.04127;0.786219;1.35815
175290;0.520358;1.03032;0.767542;1.33503
184026;0.509714;1.02141;0.748568;1.31278
193198;0.503184;1.01354;0.734466;1.29178
202828;0.501684;1.00761;0.698511;1.27446
212939;0.468204;1.00398;0.710068;1.26032
223555;0.489211;1.00122;1.06282;1.68656
234701;0.71992;1.2107;1.02262;1.65178
246404;0.711292;1.1957;0.995383;1.6161
258692;0.680242;1.18117;0.979097;1.58425
271594;0.664461;1.1655;0.95256;1.5536
285141;0.663816;1.15774;0.917407;1.52993
299365;0.642245;1.14551;0.891861;1.49854
314300;0.631221;1.1356;0.868755;1.47657
329981;0.612611;1.13227;0.847416;1.45622
346446;0.600449;1.12429;0.7957;1.43111
363734;0.58872;1.12295;0.80613;1.42513
381886;0.585938;1.13219;0.789263;1.4129
400945;0.57536;0.818764;0.773719;1.40406
420956;0.567904;1.15206;0.735781;1.40458
441967;0.56061;1.15163;1.11063;2.11803
464028;0.798297;1.6338;1.09569;2.10792
487192;0.779449;1.63186;1.09426;2.08701
511514;0.784871;1.62952;1.05702;2.05727
537052;0.768464;1.63671;1.03275;2.0517
563866;0.747332;1.64463;1.00944;2.03769
592020;0.737858;1.65206;0.98579;2.03087
621581;0.729392;1.65985;0.97694;2.02242
652620;0.71932;1.67762;0.939563;2.01278
685210;0.708075;1.67936;0.917789;1.99884
719429;0.702469;1.68826;0.896585;1.99712
755358;0.695583;1.63093;0.876885;1.99093
793083;0.68876;1.72844;0.825525;1.99425
832694;0.67589;1.73468;0.846348;2.0135
874285;0.67453;1.74683;1.22366;3.11425
917955;0.889125;2.41104;1.1897;3.09195
963808;0.890402;2.42692;1.17678;3.05479
1011953;0.902797;2.41564;1.18471;3.0118
1062505;0.890674;2.40891;1.16425;2.97752
1115584;0.8782;2.40129;1.12196;2.9323
1171316;0.842761;2.37575;1.10338;2.88414
1229834;0.833411;2.37358;1.08622;2.86367
1291277;0.84225;2.37263;1.06873;2.83004
1355792;0.827463;2.36278;1.05287;2.80894
1423532;0.821707;2.33303;1.03702;1.73816
1494659;0.796164;2.32687;1.02079;1.70074
1569342;0.785469;1.2945;1.0083;1.6637
1647759;0.769605;1.27307;0.998264;2.67797
1730096;0.796075;2.32076;1.37126;4.01058
1816549;0.79104;2.33293;1.36323;3.92247
1907324;1.03109;3.03317;1.32547;3.8727
2002637;0.986593;3.01684;1.31569;3.80653
2102715;0.982368;3.00027;1.32909;3.76411
2207796;0.990888;2.98098;1.29667;3.6989
2318131;0.970279;2.94997;1.30854;3.62992
2433982;0.960456;2.93353;1.27583;3.57313
2555625;0.953438;2.91211;1.28933;3.53032
2683350;0.940144;2.90398;1.25932;3.48769
2817461;0.925886;2.89576;1.25151;3.43194
2958277;0.923098;2.86686;1.24384;3.39929
3106133;0.929455;2.86455;1.23595;3.35261
3261381;0.919427;2.86507;1.2293;3.32366
3424391;0.890312;1.62512;1.22437;3.28905
3595551;0.91473;1.60793;1.56823;4.66027
3775269;1.15216;3.57668;1.55654;4.58736
3963972;1.14278;3.56296;1.57231;4.50339
4162110;1.10047;3.52507;1.53941;4.43163
4370154;1.10056;3.49122;1.53001;4.35658
4588600;1.09984;3.46675;1.52107;4.2998
4817968;1.08273;3.45022;1.51436;4.22331
5058804;1.07754;3.42058;1.50906;4.16566
5311681;1.07008;3.40368;1.49748;4.11477
5577201;1.06985;3.38614;1.49141;4.05273
5855997;1.06041;3.35117;1.48753;4.00703
6148732;1.0556;3.34135;1.48242;3.96125
6456103;1.05162;3.32347;1.44993;3.46579
6778842;1.04898;3.31375;1.44464;3.65445
7117717;1.04853;3.30708;1.81449;5.29976
7473535;1.2842;4.07171;1.79606;5.21277
7847143;1.28085;4.02835;1.78389;5.11317
8239431;1.24862;3.98439;1.79095;5.01816
8651333;1.26198;3.94769;1.77813;4.93462
9083830;1.24614;3.91262;1.74276;4.84054
9537951;1.24641;3.86605;1.73374;4.7684
