No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
874285;3.60974;1.31168;2.38656
917955;3.80622;1.34877;2.4617
963808;3.96109;1.39008;2.5405
1011953;4.0808;1.43307;2.61531
1062505;4.25806;1.47273;2.69161
1115584;4.41394;1.51373;2.75918
1171316;4.56079;1.5563;2.83637
1229834;4.6787;1.59442;2.89275
1291277;4.82538;1.63555;2.96479
1355792;4.99932;1.67606;3.02348
1423532;5.13633;1.71437;3.08377
1494659;5.28146;1.76087;3.14617
1569342;5.37859;1.80221;3.21098
1647759;5.51277;2.03811;3.4703
1730096;5.63931;2.07382;3.52487
1816549;5.76568;2.11097;3.58138
1907324;5.88686;2.14478;3.63562
2002637;6.01596;2.17539;3.68489
2102715;6.11583;2.2145;3.73896
2207796;6.22217;2.25295;3.79142
2318131;6.31743;2.28485;3.84151
2433982;6.4181;2.36031;3.89528
2555625;6.51453;2.35903;3.9418
2683350;6.60713;2.40035;3.98851
2817461;6.69085;2.43184;4.03799
2958277;6.78397;2.46825;4.08508
No-rehash runnning insertion, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;1.23883;0.649327;0.836481
10500;1.23431;0.659349;0.843603
11025;1.23354;0.666253;0.846032
11576;1.26351;0.674908;0.853886
12154;1.25561;0.679895;0.858926
12760;1.24927;0.68764;0.8679
13396;1.25251;0.696557;0.871769
14063;1.24949;0.707732;0.884097
14763;1.2678;0.717573;0.894942
15498;1.26406;0.672047;0.863051
16269;1.2223;0.6721;0.87066
17078;1.29932;0.681524;0.877715
17927;1.29591;0.689007;0.885823
18818;1.3104;0.697141;0.896229
19753;1.31456;0.708935;0.908227
20734;1.30126;0.721485;0.917974
21764;1.30784;0.729847;0.927002
22845;1.33112;0.748885;0.942185
23980;1.35266;0.757267;0.955888
25171;1.35883;0.7698;0.970375
26421;1.37174;0.790244;0.982576
27733;1.38374;0.807658;1.00274
29110;1.42014;0.819251;1.01251
30555;1.42688;0.834223;1.02679
32072;1.43414;0.558763;0.791854
33664;1.44616;0.565368;0.800691
35335;1.46495;0.575153;0.812178
37089;1.43509;0.576793;0.815186
38930;1.5105;0.590649;0.829083
40863;1.51375;0.599434;0.838246
42892;1.32518;0.609167;0.847788
45022;1.34159;0.621427;0.859378
47258;1.35759;0.6345;0.87185
49605;1.3776;0.644764;0.886212
52069;1.37761;0.660092;0.896466
54656;1.39228;0.67459;0.908413
57372;1.41066;0.681825;0.92412
60223;1.42341;0.697211;0.934313
63216;1.43447;0.628642;0.907917
66358;1.45192;0.637873;0.919364
69657;1.5896;0.648463;0.933825
73120;1.46279;0.658022;0.944286
76756;1.46772;0.669627;0.949526
80573;1.55336;0.681264;0.958282
84580;1.48609;0.689401;0.971394
88787;1.49138;0.703565;0.979508
93204;1.50004;0.713427;0.991857
97841;1.51598;0.727174;1.00239
102709;1.5193;0.741526;1.01169
107820;1.52555;0.754162;1.02631
113186;1.68021;0.766887;1.03767
118820;1.54888;0.787202;1.05192
124735;1.56963;0.697221;1.00264
130945;1.56068;0.704386;1.00959
137465;1.57289;0.715179;1.01859
144311;1.57508;0.719189;1.02446
151499;1.58464;0.732769;1.03332
159046;1.59277;0.745016;1.04322
166970;1.64693;0.752774;1.05042
175290;1.60624;0.763856;1.05828
184026;1.6091;0.770599;1.06662
193198;1.76505;0.785598;1.07691
202828;1.62532;0.798455;1.08514
212939;1.64305;0.813682;1.09475
223555;1.63974;0.825364;1.1023
234701;1.63785;0.84333;1.115
246404;1.64338;0.715621;1.03522
258692;1.65254;0.723746;1.04445
271594;1.66837;0.737463;1.05651
285141;1.67271;0.748226;1.0676
299365;1.70316;0.758758;1.07939
314300;1.7105;0.774483;1.09211
329981;1.72125;0.784259;1.10375
346446;1.73611;0.798091;1.11859
363734;1.75052;0.817049;1.13764
381886;1.7802;0.831707;1.15581
400945;1.80739;0.851586;1.17789
420956;2.11264;0.870475;1.20165
441967;1.86325;0.895735;1.22893
464028;1.91036;0.921664;1.25757
487192;1.96022;0.948548;1.29114
511514;2.01785;0.835277;1.26345
537052;2.09189;0.858955;1.30477
563866;2.17881;0.881485;1.34747
592020;2.25098;0.911992;1.39923
621581;2.34224;0.941746;1.4537
652620;2.46965;0.982602;1.51515
685210;2.57567;1.02466;1.58104
719429;2.70406;1.07228;1.6501
755358;2.86894;1.12241;1.72944
793083;2.97476;1.18058;1.81008
832694;3.1485;1.24208;1.8987
874285;3.31288;1.30813;1.98759
917955;3.4623;1.38597;2.08885
963808;3.63234;1.47233;2.19148
1011953;3.78598;1.24354;2.22875
1062505;3.96708;1.30356;2.31653
1115584;4.13022;1.36489;2.40578
1171316;4.35482;1.43358;2.50177
1229834;4.46432;1.50595;2.59457
1291277;4.66094;1.57263;2.69035
1355792;4.83345;1.6521;2.78451
1423532;4.99493;1.726;2.88656
1494659;5.13661;1.81714;2.98961
1569342;5.3493;1.89835;3.09601
1647759;6.51005;1.98099;3.25911
1730096;5.65986;2.08667;3.3189
1816549;5.78163;2.18918;3.42204
1907324;5.98713;2.284;3.52937
2002637;6.13737;2.02473;3.4856
2102715;6.29819;2.09737;3.57255
2207796;6.50737;2.16742;3.65836
2318131;6.6066;2.24364;3.74264
2433982;6.72062;2.31544;3.82883
2555625;6.87741;2.39688;3.91647
2683350;6.99769;2.48167;4.00743
2817461;7.10882;2.57169;4.10305
2958277;7.2704;2.66079;4.19664
Runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;1.19281;0.634597;0.806052
10500;1.19138;0.636066;0.807354
11025;1.19024;0.627609;0.808149
11576;1.18441;0.623196;0.806813
12154;1.18116;0.623229;0.809323
12760;1.18012;0.739353;0.872032
13396;1.27669;0.73503;0.872927
14063;1.27381;0.722673;0.875133
14763;1.27884;0.718021;0.873711
15498;1.27071;0.713831;0.873573
16269;1.26582;0.706956;0.875167
17078;1.26764;0.702671;0.88118
17927;1.26274;0.695466;0.885297
18818;1.26846;0.688861;0.882718
19753;1.26887;0.687576;0.890114
20734;1.27533;0.683196;0.892077
21764;1.28113;0.68069;0.898638
22845;1.28518;0.67881;0.900936
23980;1.28514;0.680065;0.908217
25171;1.28833;0.824698;0.988132
26421;1.41702;0.816111;0.990822
27733;1.42076;0.816374;0.998229
29110;1.41947;0.805487;1.00641
30555;1.42421;0.800315;1.00249
32072;1.42514;0.795268;1.00978
33664;1.42394;0.785879;1.0126
35335;1.42904;0.780268;1.01365
37089;1.42854;0.775639;1.01356
38930;1.43141;0.773219;1.02053
40863;1.43417;0.769157;1.02015
42892;1.43331;0.76638;1.02402
45022;1.43785;0.763813;1.02544
47258;1.44244;0.760761;1.02841
49605;1.44575;0.925183;1.12163
52069;1.59233;0.914041;1.12241
54656;1.59088;0.900932;1.1239
57372;1.58673;0.894904;1.12506
60223;1.5827;0.882325;1.1255
63216;1.58167;0.876924;1.12872
66358;1.58087;0.866469;1.12864
69657;1.57757;0.860176;1.1294
73120;1.57754;0.851526;1.12928
76756;1.57491;0.846563;1.13188
80573;1.57451;0.839839;1.12803
84580;1.57076;0.828567;1.1265
88787;1.57223;0.821755;1.12396
93204;1.5757;0.818044;1.12322
97841;1.5706;0.81258;1.12268
102709;1.57416;0.97357;1.21617
107820;1.71664;0.962394;1.21229
113186;1.71234;0.950333;1.21111
118820;1.70284;0.939087;1.20962
124735;1.69783;0.929495;1.21107
130945;1.69207;0.920345;1.20436
137465;1.68624;0.91002;1.20207
144311;1.67854;0.902878;1.20098
151499;1.67257;0.894535;1.19867
159046;1.67189;0.889723;1.19788
166970;1.66426;0.882766;1.19439
175290;1.66035;0.876807;1.1907
184026;1.6573;0.869982;1.18624
193198;1.65554;0.863187;1.18577
202828;1.65333;1.0493;1.30226
212939;1.83098;1.03653;1.30386
223555;1.82448;1.02186;1.3029
234701;1.82246;1.01037;1.30388
246404;1.82227;0.999186;1.30959
258692;1.82331;0.990769;1.31115
271594;1.83074;0.986422;1.31189
285141;1.83956;0.978749;1.31687
299365;1.84819;0.97399;1.32401
314300;1.86395;0.972373;1.32871
329981;1.87653;0.968626;1.33302
346446;1.90029;0.970452;1.34045
363734;1.92207;0.972848;1.34563
381886;1.95372;0.974042;1.3779
400945;1.98887;1.47047;1.72372
420956;2.47366;1.46143;1.75852
441967;2.51163;1.44489;1.78597
464028;2.56455;1.43311;1.82091
487192;2.62149;1.42038;1.85316
511514;2.69828;1.41043;1.90028
537052;2.78481;1.40876;1.94884
563866;2.8772;1.40827;1.99765
592020;2.97616;1.40333;2.05237
621581;3.08214;1.40204;2.10375
652620;3.19546;1.40501;2.16697
685210;3.3135;1.41241;2.23083
719429;3.43397;1.42211;2.29514
755358;3.56626;1.43428;2.36144
793083;3.68981;2.35334;2.97834
832694;4.67514;2.34738;3.05926
874285;4.78029;2.32839;3.12757
917955;4.88569;2.3103;3.20384
963808;4.98683;2.29685;3.27717
1011953;5.0981;2.2855;3.34704
1062505;5.20571;2.27674;3.42457
1115584;5.30498;2.27644;3.49049
1171316;5.41841;2.27587;3.55885
1229834;5.52536;2.27713;3.62735
1291277;5.62908;2.28004;3.67849
1355792;5.73686;2.2852;3.71157
1423532;5.8392;2.2936;3.77761
1494659;5.94291;2.3086;3.84654
1569342;6.04705;2.3235;3.88174
1647759;7.25854;3.41846;4.59771
1730096;7.30638;3.37054;4.66009
1816549;7.35929;3.33269;4.70097
1907324;7.4157;3.29882;4.74056
2002637;7.46069;3.26887;4.77684
2102715;7.5148;3.24308;4.81639
2207796;7.57117;3.21912;4.86195
2318131;7.62018;3.20087;4.8986
2433982;7.67679;3.18488;4.93921
2555625;7.72741;3.17328;4.94404
2683350;7.77957;3.16464;5.00114
2817461;7.8315;3.15907;5.01682
2958277;7.88379;3.15207;5.05272
Runnning insertion, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;1.44036;0.860359;1.01763
10500;1.44028;0.848131;1.01349
11025;1.4348;0.851275;1.01584
11576;1.52684;0.945187;1.11348
12154;1.52192;0.935137;1.11108
12760;1.43224;0.870859;1.06615
13396;1.42026;0.843287;1.01709
14063;1.42799;0.845521;1.02345
14763;1.42398;0.84704;1.02225
15498;1.4227;0.849469;0.985589
16269;1.42197;0.938619;1.08536
17078;1.51484;0.928499;1.08348
17927;1.51591;0.927045;1.08568
18818;1.50872;0.924091;1.09048
19753;1.50907;0.922976;1.08954
20734;1.51331;0.922756;1.09539
21764;1.51331;0.924293;1.09883
22845;1.51895;0.928856;1.10525
23980;1.52443;0.929292;1.11091
25171;1.53283;0.92924;1.1147
26421;1.53356;0.933508;1.1186
27733;1.54731;0.943336;1.12796
29110;1.55729;0.94334;1.142
30555;1.56473;0.955106;1.14591
32072;1.57459;0.976266;1.11636
33664;1.58853;0.966158;1.11875
35335;1.58953;0.946804;1.1237
37089;1.59193;0.946751;1.12831
38930;1.59914;0.939323;1.12936
40863;1.59439;0.939145;1.13136
42892;1.59875;0.937049;1.1353
45022;1.60259;0.930048;1.14126
47258;1.60972;0.932568;1.14346
49605;1.6182;0.93382;1.14966
52069;1.62197;0.926654;1.1476
54656;1.63056;0.930357;1.15293
57372;1.63678;0.936657;1.16145
60223;1.64637;0.941423;1.16456
63216;1.66003;1.09121;1.2694
66358;1.80631;1.08198;1.26918
69657;1.79622;1.06961;1.26574
73120;1.79696;1.06457;1.27164
76756;1.79342;1.05801;1.27149
80573;1.79146;1.0572;1.27748
84580;1.79089;1.05074;1.27868
88787;1.79134;1.04783;1.27523
93204;1.79105;1.04382;1.27836
97841;1.79525;1.04724;1.28997
102709;1.7958;1.04354;1.28514
107820;1.80129;1.04935;1.29481
113186;1.80567;1.05282;1.29786
118820;1.80859;1.05408;1.29504
124735;1.81239;1.20845;1.39936
130945;1.96892;1.20045;1.39939
137465;1.96453;1.19049;1.40073
144311;1.95773;1.18231;1.39989
151499;1.94993;1.17128;1.3988
159046;1.9468;1.16605;1.40188
166970;1.93923;1.16267;1.39644
175290;1.93745;1.15176;1.3932
184026;1.93482;1.15298;1.39556
193198;1.93387;1.14534;1.39075
202828;1.92749;1.14213;1.39812
212939;1.92903;1.14601;1.39685
223555;1.93059;1.14038;1.3932
234701;1.93399;1.14324;1.39526
246404;1.93695;1.31705;1.5119
258692;2.11936;1.30084;1.50972
271594;2.11277;1.28868;1.50671
285141;2.11144;1.27607;1.51137
299365;2.10716;1.26501;1.51201
314300;2.11056;1.26105;1.51865
329981;2.11132;1.25443;1.50976
346446;2.11677;1.25357;1.51763
363734;2.12987;1.24485;1.51816
381886;2.14233;1.24448;1.52801
400945;2.16391;1.24948;1.53795
420956;2.18836;1.25549;1.5451
441967;2.21513;1.25971;1.56608
464028;2.2542;1.27051;1.58554
487192;2.29484;1.28373;1.60706
511514;2.35139;1.69921;1.8866
537052;2.85744;1.68929;1.91218
563866;2.90483;1.68236;1.93102
592020;2.96803;1.67647;1.96936
621581;3.03792;1.67956;2.03636
652620;3.12256;1.69796;2.0886
685210;3.21425;1.70938;2.14333
719429;3.31729;1.72368;2.20206
755358;3.44108;1.75778;2.25908
793083;3.55568;1.7847;2.33944
832694;3.6861;1.82405;2.41933
874285;3.82546;1.87395;2.49649
917955;3.97663;1.92474;2.57521
963808;4.12538;1.99125;2.6646
1011953;4.29208;2.9496;3.356
1062505;5.39046;2.93238;3.40781
1115584;5.48856;2.92774;3.50245
1171316;5.59328;2.92861;3.5745
1229834;5.70245;2.93727;3.64317
1291277;5.81185;2.94568;3.76055
1355792;5.92903;2.95986;3.84749
1423532;6.05199;2.98401;3.89915
1494659;6.17936;3.01614;3.98183
1569342;6.31238;3.04823;4.07613
1647759;6.446;3.09272;4.1594
1730096;6.58065;3.14257;4.25419
1816549;6.71314;3.20564;4.31579
1907324;6.8676;3.26165;4.48533
2002637;7.00879;4.47355;5.28157
2102715;8.31806;4.43753;5.28641
2207796;8.39679;4.40356;5.4255
2318131;8.44973;4.38923;5.41423
2433982;8.51349;4.36871;5.47186
2555625;8.58227;4.36329;5.56123
2683350;8.65375;4.36695;5.63342
2817461;8.73594;4.37601;5.70942
2958277;8.81189;4.38575;5.76447
