Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
166970;111.83;84.3145;66.8754
175290;116.106;89.2071;70.3975
184026;120.635;94.9984;74.5002
193198;125.835;100.973;79.1239
202828;131.507;111.607;90.4009
212939;141.782;116.472;92.1352
223555;146.689;123.014;96.455
234701;152.63;128.738;101.24
246404;158.413;134.577;105.359
258692;163.548;139.438;109.251
271594;169.054;143.968;113.274
285141;173.992;147.778;117.024
299365;179.077;152.485;120.407
314300;182.2;154.931;123.571
329981;186.149;156.957;126.438
346446;189.054;159.976;129.496
363734;191.882;162.183;132.659
381886;195.371;164.542;135.143
400945;199.357;171.05;143.659
420956;208.534;173.466;146.34
441967;211.719;175.304;148.769
464028;215.671;177.528;151.403
487192;219.074;179.84;153.786
511514;222.066;181.08;155.174
537052;224.669;183.216;157.282
563866;228.285;184.686;158.759
592020;230.622;186.729;160.864
621581;233.392;188.609;162.513
652620;236.796;190.441;164.736
685210;238.964;192.109;166.348
719429;241.875;193.618;168.111
755358;244.74;195.484;169.86
793083;247.492;198.067;175.48
832694;252.188;199.037;177.056
874285;254.477;200.035;178.717
917955;256.956;201.263;180.087
963808;259.273;202.395;181.419
1011953;260.564;203.354;182.845
1062505;263.447;204.925;184.315
1115584;265.151;205.864;185.462
1171316;267.055;207.005;186.508
1229834;268.785;207.893;187.497
1291277;270.099;208.368;188.123
1355792;271.454;209.622;188.899
1423532;273.596;210.817;190.169
1494659;275.469;211.723;191.578
1569342;277.102;212.718;192.901
1647759;279.669;212.284;196.066
1730096;281.186;212.667;196.888
1816549;282.239;213.316;197.856
1907324;284.077;214.513;199.432
2002637;285.672;215.442;200.126
2102715;286.915;215.956;200.46
2207796;288.2;216.613;201.517
2318131;289.231;217.51;202.232
2433982;290.276;218.121;202.876
2555625;291.468;218.853;203.658
2683350;292.613;219.422;204.266
2817461;293.834;220.364;205.049
2958277;294.741;220.944;205.774
Scattered erasure, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;79.6751;41.496;31.7622
10500;80.0079;41.7759;32.05
11025;80.3874;42.1754;32.2543
11576;80.637;42.642;32.5532
12154;81.0827;42.9928;32.7474
12760;81.4988;43.6435;33.3087
13396;81.3555;43.9104;33.4085
14063;82.0192;44.1831;33.788
14763;82.4549;44.8521;34.1565
15498;82.7484;43.5127;33.6765
16269;81.185;44.2366;34.089
17078;81.5845;44.5323;34.1587
17927;81.7914;44.8703;34.4304
18818;82.1026;45.2313;34.5576
19753;82.2137;45.2407;34.8614
20734;82.2796;45.8505;35.0249
21764;82.776;45.8788;35.19
22845;82.7989;46.2303;35.4563
23980;83.3835;46.3895;35.772
25171;83.427;46.7706;36.0521
26421;83.4875;47.2081;36.2649
27733;83.6832;47.5426;36.4379
29110;83.8575;47.9434;36.7098
30555;84.3593;48.159;36.9852
32072;84.6792;46.19;36.1582
33664;83.4597;46.6927;36.2385
35335;83.7246;46.6047;36.4799
37089;83.9803;46.6479;36.621
38930;84.1006;47.11;36.8114
40863;84.2821;47.2745;36.9629
42892;84.4139;47.4756;37.1149
45022;84.5213;47.9009;37.2778
47258;84.867;48.0067;37.5107
49605;84.9049;48.3251;37.5932
52069;84.9237;48.4753;37.8573
54656;85.2472;48.7884;38.0984
57372;85.5717;49.1232;38.3147
60223;85.5544;49.4495;38.399
63216;85.9229;47.3611;37.8219
66358;84.4198;47.488;37.9579
69657;84.5012;47.6738;38.0038
73120;84.7472;47.8919;38.1774
76756;84.8568;48.1622;38.2932
80573;85.0029;48.3453;38.4266
84580;85.1603;48.7155;38.6978
88787;85.4656;49.2278;39.0407
93204;86.0322;50.0849;39.4858
97841;85.8474;49.9149;39.4449
102709;86.4699;50.9626;40.2103
107820;87.1693;51.7375;41.078
113186;87.9343;53.4198;42.091
118820;88.8735;54.5921;43.0331
124735;89.8913;52.9326;43.0122
130945;88.6748;54.0165;43.8652
137465;90.5273;56.2994;46.4224
144311;94.4892;62.1249;50.0681
151499;95.461;63.4912;50.6449
159046;99.4276;68.6763;54.9285
166970;101.583;73.9386;57.4452
175290;103.718;75.7177;59.5909
184026;104.494;76.8948;60.193
193198;110.612;83.4818;65.6628
202828;116.354;91.1408;70.5842
212939;122.251;98.7647;75.9997
223555;129.223;105.947;80.9759
234701;135.055;112.82;85.8408
246404;142.148;117.463;92.3028
258692;147.334;124.702;96.9297
271594;155.373;131.409;101.664
285141;161.249;137.36;106.33
299365;167.908;143.236;110.926
314300;172.258;147.302;114.237
329981;177.199;151.524;117.114
346446;182.464;156.724;120.986
363734;187.236;160.566;124.472
381886;191.787;164.496;128.199
400945;195.546;167.488;131.768
420956;199.947;171.141;135.17
441967;203.332;174.449;137.946
464028;208.184;178.146;141.012
487192;212.59;181.683;144.167
511514;217.282;179.353;146.982
537052;216.138;181.665;148.915
563866;220.16;184.95;151.681
592020;223.474;187.441;154.068
621581;226.904;190.354;156.433
652620;231.217;193.238;159.036
685210;234.053;195.792;161.127
719429;238.782;199.127;163.671
755358;242.154;202.126;165.964
793083;245.801;204.398;168.251
832694;249.333;207.396;170.588
874285;252.668;210.366;172.744
917955;256.353;213.259;175.323
963808;259.495;216.324;177.307
1011953;262.69;208.844;178.633
1062505;261.477;210.652;180.348
1115584;263.985;212.737;181.902
1171316;266.341;214.761;183.391
1229834;268.841;216.635;185.191
1291277;271.725;218.953;187.096
1355792;274.313;221.152;188.728
1423532;276.887;223.162;190.262
1494659;279.515;225.439;191.882
1569342;282.384;227.728;193.69
1647759;284.878;230.085;195.348
1730096;287.717;232.301;197.023
1816549;289.963;234.697;198.873
1907324;293.066;237.405;200.63
2002637;295.541;224.83;199.569
2102715;290.547;226.461;200.89
2207796;292.658;228.154;202.044
2318131;294.845;229.743;203.466
2433982;296.759;231.603;204.846
2555625;298.631;233.083;205.95
2683350;300.523;235.024;207.454
2817461;302.629;236.958;208.688
2958277;304.484;238.81;209.883
