No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
832595;119.699;89.0832;88.9783
874177;122.144;91.2288;91.0754
917832;124.487;93.0053;92.9073
963677;127.442;95.2719;95.4437
1011813;130.238;96.6937;98.4981
1062351;134.039;100.211;100.572
1115422;136.085;101.166;103.417
1171143;137.501;104.115;106.456
1229634;139.531;106.987;109.459
1291062;141.729;109.031;111.711
1355554;142.816;111.114;114.878
1423274;143.286;114.406;117.721
1494380;146.177;117.708;122.507
1569031;148.358;120.439;125.123
1647417;151.502;125.949;130.554
1729734;153.745;126.831;132.011
1816153;156.206;128.94;135.28
1906885;158.985;130.267;135.682
2002164;161.41;132.512;140.265
2102198;153.196;134.218;141.818
2207233;154.837;135.702;144.438
2317508;156.137;138.479;147.512
2433290;157.971;140.452;150.746
2554854;159.47;143.106;154.213
2682511;161.506;145.596;157.318
2816546;163.916;147.862;160.814
2957287;165.407;150.673;164.635
Runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;61.2123;65.9532;66.9206
10500;61.0953;65.4965;66.7009
11025;60.5752;64.9704;66.1295
11576;60.346;64.4955;65.4382
12154;59.8514;63.7715;64.9159
12760;59.9149;75.1874;78.0674
13396;59.5728;73.9137;76.6946
14063;59.4681;72.8039;75.8525
14763;59.4936;71.6004;74.4662
15498;59.3867;71.172;73.6399
16269;59.2151;70.1172;72.7794
17078;66.642;69.1394;71.7305
17927;66.1053;68.6297;70.9827
18818;65.433;67.8881;70.1552
19753;65.0005;67.4927;69.7517
20734;64.4475;66.8773;69.2435
21764;64.1473;66.2999;68.6057
22845;63.7518;65.7245;68.2448
23980;63.4214;65.474;67.9288
25171;63.1734;78.1441;82.835
26421;62.8812;77.285;81.4277
27733;62.8184;75.9687;80.3971
29110;62.5897;74.9977;79.3682
30555;62.4715;73.8771;78.0638
32072;62.581;72.9086;77.2774
33664;73.9343;72.2596;76.2516
35335;73.079;71.8504;75.5202
37089;72.1989;70.9437;74.9444
38930;71.6982;70.3855;74.1512
40863;70.9481;69.8119;73.7706
42892;70.4478;69.3304;73.2267
45022;69.7249;68.5864;72.7748
47258;69.0966;68.5311;72.5628
49605;68.7596;82.0984;88.7867
52069;68.6035;80.8842;86.8732
54656;68.0616;79.5224;85.6158
57372;67.7461;78.4537;84.2433
60223;67.3697;77.4753;83.2484
63216;67.2716;76.4331;82.3175
66357;79.7944;74.0271;81.1017
69656;78.8682;73.2377;80.2645
73119;77.8364;72.5771;79.4776
76755;76.9804;71.9767;78.6726
80572;75.5969;71.3528;78.2522
84579;74.7407;70.6962;77.9203
88786;74.0455;70.3573;77.1824
93203;73.4857;69.8516;76.7566
97840;72.849;69.5602;76.2601
102706;72.4168;84.4753;93.6949
107816;71.8719;83.2672;91.6887
113182;71.4006;81.7119;90.238
118816;71.5871;80.4426;88.6864
124731;70.9073;79.3983;87.8328
130941;70.7841;78.4667;86.297
137461;83.6078;77.5178;85.3407
144307;82.521;76.525;84.378
151495;81.2123;75.5562;83.4505
159042;80.1797;75.1323;82.728
166965;79.5294;74.5395;81.8807
175284;78.7381;73.8952;81.1907
184019;77.6308;73.4922;80.8222
193190;77.0222;72.9054;80.3181
202820;76.3167;90.4107;101.755
212931;75.8707;88.5661;99.7219
223547;75.664;87.1892;98.2899
234692;74.8947;85.6601;96.8115
246395;75.248;84.1722;95.715
258683;74.3719;82.8587;94.0379
271585;97.1235;81.7707;92.2971
285132;95.4686;81.1117;91.6572
299354;93.8857;80.211;90.0943
314289;93.5785;79.4862;90.371
329969;93.2607;79.3967;89.2296
346432;93.7849;78.9402;88.7437
363719;93.5773;78.7844;87.9864
381870;93.3826;78.2441;87.8325
400928;94.0489;112.885;136.555
420937;95.3349;111.412;134.976
441947;96.2479;109.832;135.235
464005;98.0343;108.465;132.328
487165;99.2096;107.549;130.614
511485;100.57;106.812;129.225
537019;142.125;106.534;127.715
563827;142.02;105.92;127.621
591977;142.058;106.17;126.127
621532;142.902;105.593;125.91
652567;142.342;105.913;124.483
685151;142.141;106.136;124.363
719359;143.768;106.983;124.537
755280;143.378;108.433;124.032
792997;144.926;150.596;196.662
832595;145.917;150.17;193.653
874177;147.274;149.491;191.74
917832;148.248;148.772;189.289
963677;150.541;147.563;186.301
1011813;152.906;147.106;185.124
1062351;205.572;147.037;182.733
1115422;204.143;146.81;181.519
1171143;202.41;146.823;180.245
1229634;200.081;146.824;179.523
1291062;199.901;147.696;179.796
1355554;199.204;147.824;178.535
1423274;197.695;148.868;179.522
1494380;197.51;150.845;179.741
1569031;197.251;151.692;180.245
1647417;197.761;197.102;258.687
1729734;196.529;196.098;254.218
1816153;198.232;193.89;251.966
1906885;197.844;192.233;248.148
2002164;199.702;190.604;244.739
2102198;262.138;189.952;242.798
2207233;258.392;190.238;239.901
2317508;253.844;189.162;238.93
2433290;251.383;189.02;237.683
2554854;248.87;188.399;237.113
2682511;245.803;189.193;236.212
2816546;244.276;190.1;236.318
2957287;243.048;190.267;236.023
