Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
137465;17.1302;15.9055;16.7602
144311;17.3836;16.2541;17.1493
151499;17.6576;16.5614;17.547
159046;17.9372;16.9676;17.8005
166970;18.2441;17.3139;18.2616
175290;18.5734;17.6905;18.5342
184026;18.9172;18.0142;18.9783
193198;19.2812;18.3135;19.2482
202828;19.6422;14.5022;15.4626
212939;19.9333;14.7702;15.8359
223555;20.3457;15.0841;16.1184
234701;20.7194;15.51;16.4309
246404;21.1062;15.8427;16.8199
258692;21.5586;16.2558;17.2091
271594;21.1599;16.6701;17.618
285141;22.3411;17.0919;18.0447
299365;23.4084;17.5306;18.5594
314300;23.9509;17.9762;18.9565
329981;26.2288;18.4742;19.3743
346446;27.4396;18.8865;19.8767
363734;28.7186;19.3113;20.4319
381886;30.3279;19.9995;21.1652
400945;31.6188;22.3688;22.8029
420956;32.9831;23.7549;24.0022
441967;34.2818;25.0606;25.3673
464028;35.6717;26.3139;26.5602
487192;37.1862;27.7143;27.7529
511514;38.5706;28.7482;29.1356
537052;43.7395;30.1325;30.1574
563866;44.6829;31.2399;31.5073
592020;45.8055;32.3846;32.7343
621581;46.6078;33.4882;33.9517
652620;47.5158;34.6257;34.9633
685210;48.69;35.772;36.3299
719429;49.6856;37.03;37.5526
755358;50.5775;38.2808;38.9574
793083;51.7316;42.4454;42.6427
832694;53.0854;43.4256;43.5137
874285;54.1283;44.173;44.3877
917955;55.3346;44.9322;45.2589
963808;56.8596;45.6783;46.1346
1011953;58.2273;46.5874;46.831
1062505;54.4708;47.6598;47.8462
1115584;55.2356;48.3894;48.9617
1171316;56.2393;49.3768;49.9219
1229834;57.1682;50.5171;51.0381
1291277;58.1769;51.6439;52.1072
1355792;59.0754;52.838;53.3881
1423532;60.0916;54.0929;54.6466
1494659;61.0589;55.2958;56.1438
1569342;62.3439;56.6881;57.5479
1647759;63.386;53.4219;53.8795
1730096;64.6403;54.1028;54.8005
1816549;66.0195;54.9429;55.5651
1907324;67.335;55.6897;56.3001
2002637;68.8482;56.6775;57.3733
2102715;60.8861;57.6055;58.1642
2207796;61.7219;58.6446;59.1775
2318131;62.6154;59.7809;60.4295
2433982;63.4238;60.7472;61.6222
2555625;64.2568;62.1447;62.6721
2683350;65.3459;63.245;63.8266
2817461;66.4739;64.4292;65.202
2958277;67.418;65.7793;66.3346
Scattered unsuccessful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
10000;13.5871;13.2984;14.894
10500;13.965;13.5531;15.0797
11025;14.396;13.7613;15.6403
11576;14.7207;13.9899;15.931
12154;15.2114;14.241;16.259
12760;15.5685;11.4327;13.1926
13396;15.8887;11.8721;13.5199
14063;16.1545;12.2635;14.0866
14763;16.5623;12.8005;14.6194
15498;16.7711;13.1615;15.1299
16269;17.1709;13.6695;15.7864
17078;14.2961;14.1;16.2889
17927;14.6681;14.3735;16.8083
18818;15.1026;14.7737;17.2839
19753;15.4946;15.0779;17.7708
20734;15.904;15.4994;18.2301
21764;16.2422;15.7095;18.6742
22845;16.6081;16.0025;19.1775
23980;16.9659;16.4396;19.5491
25171;17.23;12.7906;14.8683
26421;17.5329;13.2008;15.3885
27733;17.8463;13.6107;15.861
29110;18.1029;14.0119;16.3405
30555;18.3874;14.3919;16.8453
32072;18.681;14.802;17.3991
33664;14.7318;15.1471;17.7778
35335;15.0491;15.4861;18.2993
37089;15.5282;15.8787;18.8326
38930;15.9533;16.2389;19.3296
40863;16.3198;16.5662;19.7415
42892;16.7234;16.9064;20.301
45022;17.1045;17.2594;20.7736
47258;17.4131;17.5999;21.242
49605;17.8108;13.4515;16.0324
52069;18.1496;13.8389;16.5358
54656;18.384;14.2035;16.9487
57372;18.6073;14.6117;17.451
60223;18.8851;14.9943;17.9903
63216;19.1614;15.3775;18.3962
66358;14.9818;15.7905;18.9155
69657;15.3881;16.1151;19.411
73120;15.8047;16.5087;19.8331
76756;16.1761;16.8309;20.3203
80573;16.6088;17.1343;20.79
84580;17.0677;17.462;21.2461
88787;17.4529;17.7567;21.7068
93204;17.7705;18.1191;22.2079
97841;18.122;18.5991;22.6675
102709;18.4008;13.9977;15.8612
107820;18.6639;14.417;16.3325
113186;18.96;14.8316;16.7822
118820;19.1949;15.272;17.314
124735;19.4937;15.6543;17.8463
130945;19.7515;16.0737;18.359
137465;15.5801;16.4991;18.8542
144311;15.9911;16.9139;19.325
151499;16.4205;17.2404;19.7836
159046;16.8882;17.5932;20.3433
166970;17.3516;17.8967;20.7949
175290;17.7677;18.2718;21.4125
184026;18.1659;18.7046;21.8661
193198;18.5431;19.199;22.5981
202828;18.9125;14.3937;16.6551
212939;19.2327;14.8191;17.1418
223555;19.6025;15.2858;17.6826
234701;20.1079;15.7981;18.2852
246404;20.4254;16.2262;18.9471
258692;20.9415;16.7699;19.5961
271594;20.7912;17.3247;20.3262
285141;22.1997;17.7486;21.238
299365;23.5982;18.2099;21.7589
314300;24.2311;18.9024;22.3297
329981;27.1689;19.639;23.627
346446;29.3511;20.5795;24.8455
363734;31.3895;21.1743;25.7678
381886;33.0363;22.6464;27.6465
400945;35.5259;20.3001;24.7308
420956;37.7673;22.0526;26.7044
441967;39.8267;23.4754;28.6435
464028;42.1298;25.1489;30.9047
487192;44.985;27.2629;33.0316
511514;47.0847;28.6803;35.4616
537052;46.1925;30.6626;37.2309
563866;47.6341;32.634;39.6659
592020;48.8768;34.7111;42.272
621581;50.6291;36.7332;44.4875
652620;52.1747;38.7093;46.9585
685210;53.9141;40.7833;49.4873
719429;55.2708;43.019;52.1619
755358;57.265;45.389;54.7711
793083;58.9964;37.5545;48.6607
832694;60.6196;38.9566;50.7594
874285;62.4049;40.3936;52.6047
917955;64.5917;41.7568;54.7336
963808;66.5136;43.4029;56.6659
1011953;68.2021;44.8718;58.8848
1062505;57.6662;46.5751;61.2398
1115584;59.0518;48.3431;63.7727
1171316;60.5205;49.9393;65.6836
1229834;62.1058;52.0692;68.413
1291277;63.6064;54.1588;70.7156
1355792;64.9711;56.2568;73.3222
1423532;66.4825;58.2191;76.0783
1494659;68.344;60.6508;78.897
1569342;70.0186;63.3286;81.8782
1647759;71.6611;48.2237;69.4039
1730096;73.5435;49.5284;71.1515
1816549;75.3462;50.7706;73.2526
1907324;77.2973;52.2214;75.3518
2002637;79.2289;53.8456;77.1872
2102715;63.8943;55.3282;79.1737
2207796;64.9622;57.0958;81.1102
2318131;66.5472;58.8829;83.3922
2433982;68.2403;60.6032;85.5524
2555625;69.552;62.4892;88.0382
2683350;70.8595;64.6475;90.7952
2817461;72.4472;67.0678;93.1127
2958277;73.8605;69.3527;95.8177
