Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
1816549;4.43932;2.53425;3.02031
1907324;4.50715;2.55506;3.06406
2002637;4.51946;2.57589;3.07569
2102715;4.32519;2.6149;3.1285
2207796;4.66716;2.64549;3.16896
2318131;4.74026;2.66537;3.18352
2433982;4.79934;2.70598;3.21167
2555625;4.83689;2.73401;3.22216
2683350;4.90588;2.75604;3.26255
2817461;4.96654;2.79046;3.29466
2958277;4.85716;2.82125;3.30572
Scattered erasure, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.532933;0.342308;0.349816
10500;0.541532;0.347859;0.354026
11025;0.548398;0.354972;0.358694
11576;0.557731;0.360838;0.364633
12154;0.566342;0.367483;0.366071
12760;0.577516;0.373634;0.371801
13396;0.585288;0.380688;0.375031
14063;0.597449;0.389663;0.382663
14763;0.612458;0.402455;0.387157
15498;0.622856;0.389802;0.395048
16269;0.611077;0.393824;0.402256
17078;0.618011;0.399041;0.40422
17927;0.628868;0.408002;0.408436
18818;0.641614;0.416533;0.414428
19753;0.653432;0.425565;0.419471
20734;0.660837;0.434101;0.426864
21764;0.666686;0.437321;0.436828
22845;0.692155;0.453638;0.437814
23980;0.705665;0.458428;0.444688
25171;0.712844;0.46989;0.451389
26421;0.724811;0.476015;0.456903
27733;0.741014;0.490097;0.458201
29110;0.757467;0.495422;0.467981
30555;0.776084;0.512268;0.470521
32072;0.793066;0.460919;0.477738
33664;0.744667;0.464245;0.483091
35335;0.758584;0.471979;0.487352
37089;0.764548;0.475594;0.491187
38930;0.775931;0.484318;0.497144
40863;0.789002;0.491873;0.500939
42892;0.799541;0.500094;0.499921
45022;0.817435;0.507436;0.507371
47258;0.825578;0.522034;0.512905
49605;0.842922;0.528216;0.518079
52069;0.852895;0.537105;0.521503
54656;0.865005;0.547745;0.523806
57372;0.872602;0.560222;0.526059
60223;0.898725;0.570014;0.52907
63216;0.901948;0.522465;0.535154
66358;0.855945;0.527307;0.53655
69657;0.857699;0.534935;0.54267
73120;0.872364;0.540317;0.546185
76756;0.880057;0.552929;0.547886
80573;0.89396;0.556505;0.548883
84580;0.901219;0.568223;0.552188
88787;0.911835;0.575695;0.55521
93204;0.922311;0.581288;0.556037
97841;0.930016;0.592078;0.560933
102709;0.939547;0.598253;0.562647
107820;0.954089;0.609425;0.5649
113186;0.966898;0.621556;0.564715
118820;0.97372;0.630398;0.568682
124735;0.988399;0.564155;0.57026
130945;1.00146;0.568781;0.569975
137465;0.919077;0.577047;0.572049
144311;0.925581;0.583676;0.574121
151499;0.934881;0.591244;0.575194
159046;0.942658;0.59687;0.576461
166970;0.949292;0.607818;0.579403
175290;0.956683;0.617403;0.582443
184026;0.965986;0.627316;0.580691
193198;0.977308;0.642958;0.5848
202828;0.985878;0.65736;0.582898
212939;0.999792;0.673224;0.586355
223555;1.00458;0.686554;0.583651
234701;1.01745;0.706132;0.589103
246404;1.02939;0.642776;0.610512
258692;1.07143;0.668103;0.621462
271594;1.01814;0.70121;0.636838
285141;1.04615;0.731963;0.656002
299365;1.08127;0.770373;0.672035
314300;1.11392;0.805569;0.689753
329981;1.15475;0.850245;0.714245
346446;1.20492;0.903806;0.745386
363734;1.25859;0.951118;0.77436
381886;1.31121;1.00169;0.806081
400945;1.37286;1.05061;0.836911
420956;1.44721;1.1093;0.883625
441967;1.53175;1.17869;0.930608
464028;1.62969;1.25168;0.982978
487192;1.73351;1.31778;1.04126
511514;1.85026;1.31834;1.19483
537052;1.98798;1.39182;1.26311
563866;2.03979;1.44827;1.33104
592020;2.09894;1.53685;1.40549
621581;2.29318;1.61242;1.47549
652620;2.4273;1.70244;1.54795
685210;2.56419;1.78704;1.61661
719429;2.71218;1.87546;1.69004
755358;2.85605;1.97422;1.76586
793083;3.00193;2.06828;1.82941
832694;3.15696;2.16915;1.89665
874285;3.29919;2.26771;1.95978
917955;3.4342;2.38327;2.01058
963808;3.63146;2.49909;2.06917
1011953;3.77264;2.22676;2.26124
1062505;3.79357;2.30721;2.30978
1115584;3.79606;2.39143;2.35739
1171316;3.93645;2.4554;2.43197
1229834;4.05884;2.54074;2.47837
1291277;4.17282;2.60844;2.53094
1355792;4.2929;2.69754;2.55476
1423532;4.40718;2.79063;2.60495
1494659;4.47803;2.85242;2.63054
1569342;4.63631;2.94609;2.68796
1647759;4.73108;3.02627;2.71894
1730096;4.8796;3.13488;2.77192
1816549;4.99893;3.2321;2.7909
1907324;5.12461;3.32672;2.81539
2002637;5.27191;2.90943;2.96203
2102715;5.4086;2.98324;3.00406
2207796;5.55855;3.0649;3.04757
2318131;5.14458;3.12461;3.05678
2433982;5.22139;3.1837;3.07685
2555625;5.33496;3.26643;3.11638
2683350;5.42289;3.34167;3.15281
2817461;5.50168;3.41767;3.18578
2958277;5.63215;3.511;3.17706
