Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;49.2848;43.328;36.9558
10500;49.6783;43.816;37.3149
11025;49.9583;44.1305;37.5979
11576;50.1602;44.538;37.8725
12154;50.789;44.6008;38.0578
12760;51.0998;45.1814;38.1758
13396;51.438;45.493;38.6636
14063;51.6537;45.8795;38.774
14763;52.2134;46.172;39.0081
15498;52.7616;44.7677;38.4922
16269;51.3769;45.4938;38.8886
17078;51.6643;45.7134;39.0553
17927;51.9833;46.0451;39.1742
18818;52.3084;46.098;39.3657
19753;52.7026;46.412;39.5484
20734;53.0149;46.6765;39.7726
21764;53.3558;46.9672;39.9055
22845;53.5408;46.9151;40.039
23980;53.9092;47.5647;40.2525
25171;54.1025;47.8524;40.4227
26421;54.4566;48.0114;40.6356
27733;54.5518;48.2686;40.7862
29110;55.0788;48.5111;41.0895
30555;55.3006;48.6094;41.0782
32072;55.6674;46.7519;40.4655
33664;53.9478;46.8188;40.6729
35335;54.2181;47.1022;40.8287
37089;54.3999;47.3459;41.1558
38930;54.6964;47.5483;41.0824
40863;54.8877;47.8453;41.1582
42892;55.1211;47.8856;41.2875
45022;55.401;48.0949;41.5805
47258;55.5262;48.3237;41.6952
49605;55.7959;48.5488;41.8079
52069;55.9817;48.7532;42.0448
54656;56.2129;49.051;42.2612
57372;56.6327;49.2714;42.3572
60223;56.882;49.6356;42.4225
63216;57.3769;47.6546;41.8997
66358;55.3382;47.9125;42.009
69657;55.6297;48.0722;42.2984
73120;55.9594;48.4026;42.8381
76756;57.4466;48.9467;43.9377
80573;58.5242;49.4795;44.8792
84580;60.1412;49.6089;46.2995
88787;60.6579;50.9083;46.7017
93204;62.5168;51.4175;48.3342
97841;64.8259;53.2205;50.3235
102709;66.9212;54.6732;52.5425
107820;69.6407;56.5136;54.5959
113186;72.7682;58.4164;58.1599
118820;76.433;61.1809;61.9356
124735;80.3548;60.1696;66.082
130945;86.0456;64.0461;70.9558
137465;86.4195;69.6391;75.2933
144311;94.242;75.5183;81.376
151499;101.357;82.0129;86.9788
159046;109.143;87.7792;92.8097
166970;116.677;96.3936;98.2562
175290;122.673;103.162;102.523
184026;130.491;111.051;107.663
193198;137.224;117.531;111.752
202828;143.492;124.621;115.509
212939;149.968;131.565;119.72
223555;156.648;137.447;123.694
234701;162.756;143.976;127.392
246404;168.891;146.083;130.596
258692;174.964;152.054;133.663
271594;176.509;158.15;138.328
285141;182.219;162.85;141.476
299365;187.691;167.411;144.744
314300;192.325;170.944;147.54
329981;197.28;174.017;150.309
346446;201.892;177.263;152.844
363734;206.436;180.591;155.644
381886;211.327;184.036;158.701
400945;215.621;187.637;161.533
420956;220.03;191.458;164.196
441967;224.512;195.175;167.129
464028;228.888;199.102;169.88
487192;232.899;202.975;172.677
511514;237.332;198.749;173.528
537052;241.788;201.105;175.859
563866;238.149;203.983;177.844
592020;241.353;206.599;179.754
621581;244.691;209.402;181.89
652620;247.851;211.886;183.876
685210;251.159;214.568;185.948
719429;254.223;217.075;187.905
755358;257.492;219.955;189.763
793083;260.612;222.701;191.769
832694;263.78;225.355;193.814
874285;267.225;228.344;195.952
917955;270.276;231.18;197.201
963808;273.615;233.966;199.375
1011953;277.126;225.423;200.605
1062505;280.547;226.863;201.938
1115584;272.857;228.845;203.401
1171316;275.241;230.786;205.176
1229834;277.729;232.883;206.651
1291277;280.043;235.006;207.62
1355792;282.275;236.917;210.053
1423532;284.721;239.2;211.196
1494659;287.233;241.325;212.568
1569342;290.061;243.394;214.374
1647759;292.34;245.886;215.533
1730096;294.852;248.126;217.479
1816549;297.433;250.557;219.176
1907324;299.956;252.955;220.746
2002637;302.663;239.49;219.701
2102715;305.696;241.186;221.135
2207796;308.378;242.913;222.278
2318131;296.017;244.235;222.902
2433982;298.046;246.016;224.38
2555625;300.156;247.907;225.964
2683350;302.011;249.799;227.252
2817461;303.939;251.454;228.819
2958277;305.673;253.541;229.735
